,userId,movieId,rating
51115,330,2710,4.0
78420,488,2302,3.0
20930,139,5254,1.5
29029,200,2054,3.0
45242,298,74916,2.5
51925,337,141,3.0
66349,427,5620,2.0
68492,445,116897,5.0
60466,391,695,4.0
60988,395,367,4.0
9823,64,5418,3.5
29600,202,2010,4.0
14784,93,1894,3.0
6677,45,2083,5.0
31096,217,1256,2.0
59291,387,466,1.5
51624,332,91974,3.5
15218,98,81564,5.0
34366,232,31223,2.0
1686,17,750,4.5
18213,115,2325,4.0
53802,354,51662,3.5
55750,368,2991,3.0
41439,281,252,3.0
74130,474,3714,2.5
29614,202,2118,4.0
6021,42,1285,4.0
89444,580,1617,4.0
27632,187,2571,4.0
89125,577,1272,5.0
32752,222,33794,3.5
80459,509,2248,3.0
20617,136,16,5.0
26256,182,1183,4.0
75007,474,26116,4.0
23906,166,1221,4.5
59931,387,5541,2.0
48800,317,97,3.0
81824,517,45722,3.5
85197,553,55765,5.0
95664,600,4713,2.0
25121,177,1938,4.0
52847,346,7084,4.0
85436,555,1215,5.0
76091,479,1295,3.0
22114,145,434,3.0
45137,298,57640,4.0
20784,137,1230,5.0
83232,527,1544,3.0
10270,66,6313,3.0
6618,45,1393,5.0
54659,361,527,2.5
74924,474,8607,4.0
7881,52,70286,5.0
83191,527,849,4.0
62968,414,2007,2.0
29978,207,3263,3.5
74349,474,4815,3.0
84215,538,671,5.0
58648,382,3564,3.0
23513,160,2470,2.0
88732,573,1197,3.0
96018,602,252,3.0
843,6,801,3.0
66112,425,4896,3.5
73449,474,1252,4.0
5477,39,1029,3.0
58674,382,5323,1.0
37669,254,47099,4.5
69222,448,3623,2.0
58105,381,104,3.5
63044,414,2167,2.0
83815,534,46578,2.5
30928,217,260,5.0
43636,292,2948,4.0
71117,453,4225,4.0
98171,606,6782,4.0
15411,100,2716,3.5
53115,351,6874,3.0
58384,381,6711,3.0
75091,474,39869,4.0
46212,305,6947,4.0
28229,195,3408,3.0
97146,605,73,3.0
20959,139,6957,1.5
39450,274,1278,4.0
58761,382,59315,4.5
42467,288,2043,3.0
33092,226,367,3.0
99113,608,3005,3.5
99197,608,3809,1.5
12585,80,5418,5.0
10288,66,6996,2.0
66272,426,79091,5.0
86177,560,1274,3.5
19802,129,31658,4.0
80447,509,2059,2.5
97027,603,4776,4.0
84992,552,2082,2.0
27607,187,1466,4.0
99046,608,2407,3.0
20342,135,110,4.0
31148,217,1556,3.0
71568,462,348,2.0
70927,453,1407,1.0
70023,448,93287,3.0
88153,567,166528,1.0
22409,152,77455,4.0
24651,171,235,4.0
51399,332,1097,3.5
36285,247,68954,4.0
5935,42,383,4.0
66675,429,204,4.0
57986,380,108190,3.0
78509,489,261,4.0
92513,597,2476,3.0
41605,282,4239,5.0
19159,123,87232,4.0
7325,50,96610,2.0
22093,144,8622,3.5
8983,62,63113,4.5
4903,31,1036,5.0
70634,451,786,3.0
47270,307,4584,2.0
36881,249,49272,3.5
47422,307,6709,3.0
2271,18,180095,3.0
16696,105,73017,5.0
85529,555,1862,3.0
59101,385,1132,4.0
85164,553,4011,5.0
10196,66,3219,3.0
86561,560,122890,3.5
87311,562,88163,5.0
54032,356,6881,3.5
45038,298,37384,3.0
42172,288,440,3.5
19478,125,111113,4.0
79448,493,1918,4.0
20482,135,1968,4.0
37059,249,78637,3.5
95938,601,80549,4.0
41822,285,441,5.0
79453,493,2167,4.0
13942,89,124273,4.5
25380,177,6541,4.0
26008,181,172,1.0
5616,40,317,4.0
76127,479,2454,3.0
75855,477,6794,0.5
48244,313,32,4.0
62595,414,745,5.0
10535,68,1089,3.5
42310,288,1247,4.0
20684,136,333,5.0
78888,489,5013,1.5
42710,288,3040,3.0
45950,305,47,4.0
21203,140,1094,3.0
24032,166,45499,4.5
47816,308,91500,3.0
38696,266,457,4.0
83263,527,2346,4.0
11839,73,6155,3.5
98429,606,48883,3.0
56464,374,110,5.0
97587,606,1268,4.0
98794,608,608,3.0
15131,97,3578,4.0
73145,474,199,4.5
1358,13,1173,3.0
48674,314,595,3.0
7017,47,81591,1.5
75270,475,8368,4.5
62826,414,1445,2.0
23766,164,592,3.0
20071,132,2571,4.5
40923,275,4901,3.0
20412,135,1214,4.0
9161,63,47,4.0
96368,603,1196,3.0
82280,522,2628,3.0
77250,483,180,4.0
37524,253,2300,3.5
55075,365,91529,2.5
56872,379,539,4.0
19969,132,567,2.0
56537,376,165,3.5
22232,149,541,4.0
16937,106,318,5.0
48643,314,364,4.0
11150,68,7320,3.0
1685,17,593,4.5
428,4,2150,5.0
61358,404,47,3.0
98215,606,7082,4.0
89474,580,2162,1.5
69589,448,7454,2.0
54661,361,593,2.5
37082,249,81537,3.5
80047,502,1206,5.0
25234,177,3159,2.5
5493,39,1219,5.0
90024,585,4262,3.0
8989,62,68237,2.0
82362,522,68358,3.5
96714,603,2683,4.0
42191,288,589,4.0
84203,537,99114,4.5
100459,610,79868,2.5
42815,288,3688,1.0
39436,274,1235,4.5
97437,606,431,4.0
45150,298,59315,3.5
92574,597,2944,5.0
77376,483,1278,4.0
94488,599,34148,3.0
22394,152,57669,4.0
41720,283,1265,3.0
82789,525,4015,2.0
95715,600,5952,5.0
99430,608,7701,1.0
71472,460,5903,3.5
17584,111,55872,3.0
69095,448,2788,4.0
76785,480,6281,3.5
80568,509,7347,3.0
47319,307,5218,2.5
85632,555,2400,3.0
32270,221,215,4.5
65826,424,4450,4.5
60652,391,2683,5.0
13705,89,8814,2.5
70072,448,97225,2.5
18718,119,119145,4.0
71673,462,1923,3.0
55847,368,3871,4.0
84599,543,92259,5.0
54521,358,7361,4.0
89894,583,76093,4.0
50876,328,59784,2.5
3220,21,2,3.5
99911,610,5464,3.5
39419,274,1198,4.0
26209,182,750,5.0
13551,89,88,2.0
7061,48,653,4.0
56037,370,2329,4.0
5308,36,1090,2.5
63839,414,5010,5.0
11702,70,1968,4.0
54559,359,587,4.0
38221,262,497,4.0
25102,177,1588,3.0
10685,68,2002,3.0
63930,414,5382,2.0
69137,448,3020,4.0
66845,432,1221,4.0
75692,477,2797,4.5
83130,526,2692,4.5
89503,580,2716,4.0
79775,496,4993,4.0
45306,298,88140,3.0
75683,477,2694,4.0
38421,263,7147,4.0
39851,274,3991,2.0
85614,555,2344,2.0
3297,21,2403,2.5
56775,377,30812,4.0
6840,45,5500,5.0
90593,590,597,3.0
30818,216,2788,3.0
66312,427,5010,4.0
69538,448,6645,2.5
42041,287,2797,3.0
11882,73,52722,5.0
55877,369,431,2.5
59943,387,5891,3.0
5694,41,1584,2.0
66235,426,5266,1.0
5922,42,344,2.0
44324,294,3043,1.0
53234,352,1682,3.0
51901,337,16,4.0
39644,274,2455,4.0
73264,474,728,3.5
6310,42,4623,4.0
55763,368,3127,3.0
82017,520,1200,5.0
98510,607,480,4.0
83845,534,57504,4.5
15623,103,1012,4.0
33153,226,1091,3.0
30516,212,188751,4.5
77929,483,103801,3.5
38774,266,1784,3.0
16315,105,2762,4.5
62206,412,2384,3.0
6817,45,4886,5.0
69288,448,4034,3.0
3926,24,1527,4.0
92880,599,610,3.5
60842,393,3793,5.0
15534,102,296,5.0
99100,608,2889,3.0
41539,282,2115,4.0
17676,111,83349,3.5
55476,368,589,3.0
65967,425,1036,3.5
35935,244,3090,5.0
76290,480,382,2.5
88655,572,2724,4.0
23872,166,260,4.5
26411,182,1941,4.0
12937,82,6702,3.5
90844,590,2530,3.0
59258,387,163,4.0
81809,517,30749,0.5
82872,525,6934,2.5
48561,313,4874,3.0
9292,63,4299,3.0
47562,307,37384,2.0
71266,456,104,3.0
80690,509,60937,2.5
70821,452,4025,5.0
2626,19,1924,2.0
6153,42,2671,4.0
81324,514,4638,3.0
76582,480,3355,4.0
47494,307,8636,3.5
43115,288,42418,4.0
81213,514,2088,2.5
24660,171,471,3.0
80393,509,551,4.0
91926,596,5956,2.0
30655,215,1271,3.5
54216,357,1096,3.5
640,6,196,3.0
11086,68,5991,3.5
3850,23,2542,3.0
45882,304,1573,4.0
16749,105,91529,4.0
34127,232,5108,4.0
19393,125,71057,4.0
24774,174,11,5.0
15675,103,1702,3.5
62055,411,252,3.0
63184,414,2615,2.0
94514,599,39801,2.0
25470,177,25771,4.0
96193,603,357,4.0
17893,111,179953,3.5
37083,249,81562,4.5
17337,111,2571,0.5
48203,312,4437,5.0
67389,436,318,4.0
18195,115,1566,5.0
