,rating
286357,0
245418,0
74425,1
62426,0
456353,0
203134,0
203449,0
246717,0
347511,0
286698,0
311524,0
351367,0
62749,0
335264,0
98788,0
6511,0
241995,1
436591,0
418002,0
443496,0
51149,0
251761,0
353177,0
298722,0
422642,0
380294,0
271634,0
267824,0
352461,0
454650,1
466341,0
370403,0
80125,1
283930,1
189899,0
308749,0
227538,0
9905,1
486673,0
206671,0
57173,0
112137,0
77742,0
399595,1
287592,0
333562,0
98024,0
253100,1
254066,0
485963,0
191321,0
280762,0
412431,0
431154,0
470858,0
134383,0
485288,0
173699,0
342907,0
231469,0
268293,0
490703,0
489768,0
306661,0
151661,0
182957,0
54601,0
29176,0
73435,1
306890,1
221910,1
437826,0
216989,0
315046,0
191720,1
478189,0
192851,0
3969,0
439606,0
159779,0
91330,1
140491,0
419994,0
418564,0
474512,0
168588,0
238038,0
36907,0
124314,0
16077,0
400489,0
12866,0
258743,0
485450,1
419928,0
499935,1
446955,1
426455,1
330429,0
13802,0
54905,1
242952,0
334560,1
458597,0
434911,0
299605,1
51781,0
38871,0
63382,0
57290,1
207353,0
472952,0
274651,0
128787,0
396969,0
190232,0
437991,0
61631,0
196715,1
177946,0
44665,1
266567,0
246763,0
153995,1
191264,0
369915,1
452647,0
16526,0
222751,0
206002,0
497715,1
314378,0
420981,0
231830,1
133177,0
136384,0
487953,0
243822,0
205531,0
421121,0
417747,0
406826,0
375875,1
495784,0
129712,0
59,0
75622,0
82175,1
372368,0
102786,0
290422,0
481303,0
267504,0
164797,0
161079,0
12454,0
108056,0
178207,0
364734,0
418248,0
140443,0
270018,0
297911,0
384115,1
367355,1
253319,0
265017,0
41052,0
133180,1
27393,0
309045,1
124192,0
136048,0
446937,0
315055,1
421818,0
188037,0
290541,0
454934,0
414613,0
463254,0
389152,0
207108,0
354228,0
84865,1
57588,0
169387,0
312390,1
314376,0
498870,1
445593,0
76761,0
201363,0
486265,1
328612,0
442599,0
113094,0
439470,1
233950,1
306176,0
95126,0
410668,0
349934,0
80184,0
257023,0
265215,1
441263,0
275111,0
212021,0
452873,0
16197,0
172633,0
319236,0
177733,0
252335,1
481480,1
412803,0
486443,0
315093,0
302546,0
73554,0
139317,0
88434,0
221744,0
230438,0
385529,0
204133,0
221981,0
366894,0
174478,0
466887,0
396259,0
225562,0
486006,0
207323,0
496137,0
400739,0
227573,0
342778,0
17319,0
466036,0
241122,0
172540,1
51561,0
96382,0
441311,0
309052,0
342557,0
386187,0
126771,0
306670,1
480285,1
110556,0
391798,0
412308,0
403601,0
159120,1
412175,1
381384,0
266585,1
119638,0
114060,1
437787,0
6395,1
460665,1
299173,0
435930,1
76607,0
311122,0
346514,0
475199,0
161136,0
137711,0
90285,1
434053,0
32868,0
468948,0
360886,0
97932,0
188192,0
42435,1
384176,0
264647,0
431752,0
412443,0
43627,0
414510,1
62782,0
367548,0
405924,0
466413,0
132288,0
260538,0
198452,0
226614,0
435187,0
113216,0
55791,0
55045,1
286751,0
153887,0
4581,0
258990,1
66590,1
211788,0
184040,1
232253,0
168238,0
42454,0
340853,0
454016,0
473408,0
112429,0
124641,0
167353,0
27547,0
36848,0
262554,0
460836,0
295447,0
74904,0
499138,0
207080,1
275715,1
100070,1
361793,0
422595,1
312207,0
189146,0
261171,0
432881,0
61949,0
315401,0
389011,0
176410,1
399960,1
384652,0
150277,0
295826,0
200121,0
177586,0
462453,0
68141,0
346733,0
190270,1
202450,1
473534,0
502992,0
115073,0
402822,0
357331,0
409465,1
123680,1
29529,0
182262,0
306656,0
305721,0
121966,0
32689,0
483709,0
10057,0
58354,0
68708,0
201428,0
429077,0
307306,0
81759,0
243952,0
125994,0
185705,1
271907,0
307611,0
429987,0
476579,0
275535,1
199584,0
96651,0
288957,0
154950,1
490777,0
20526,0
468774,0
37787,0
34071,0
165375,1
360796,0
369193,0
126155,1
365054,0
331292,0
363164,0
35346,0
244837,0
206646,0
207079,0
417846,0
258094,0
432062,0
206209,0
461543,0
431329,0
226326,0
227558,0
258200,1
179149,0
259013,0
151362,0
504011,0
8659,0
79945,1
361337,0
396744,0
330457,0
114183,0
90487,0
444541,0
271908,0
193216,0
273184,0
211235,1
49905,1
67874,0
40383,0
337079,0
379755,1
452125,1
280796,0
232626,0
67306,0
236429,0
152244,0
409845,1
208457,0
396946,0
267530,1
16285,1
19750,1
462101,0
117554,0
143295,1
398425,1
24151,0
100625,1
341260,1
19602,0
367130,1
377983,0
263092,0
202187,0
88052,0
119171,0
172123,0
159869,0
102552,0
97397,0
168895,1
233568,0
208259,0
161632,0
196077,0
451012,0
375846,0
274216,0
282827,0
326148,0
185686,0
53984,0
211714,0
431382,0
440155,1
130612,0
70428,0
241388,0
25239,0
61460,1
309361,0
320466,0
151056,0
432565,1
64037,0
119202,0
470964,0
185346,0
140888,0
174292,0
414846,0
54896,0
66638,0
231137,0
122393,0
353021,0
339339,0
160251,0
14164,0
14414,0
445826,0
30390,1
303333,0
498976,0
84934,0
411162,0
42983,0
443186,0
493440,1
488249,0
400158,0
58968,0
425689,0
342699,0
434936,0
32044,0
252639,0
171204,0
339916,0
163751,0
350752,0
32233,0
368249,0
313321,0
469985,1
20179,0
431069,0
326870,1
223234,0
144148,0
276374,0
274752,0
219776,0
247943,0
329391,0
325741,0
266103,0
198840,1
358961,0
395403,0
276160,1
433690,1
444992,0
245145,1
158920,1
353831,0
35531,0
242260,1
358486,0
253895,1
251675,1
195908,0
492360,1
388265,1
157911,0
191929,0
244138,0
342444,0
132055,1
259067,0
79080,1
302203,0
177686,0
219933,0
124815,1
50013,0
18866,0
76011,0
2529,0
409173,0
391250,1
440127,0
188595,1
456172,0
435780,1
143821,0
271971,0
254417,0
24179,0
241568,0
430326,0
120804,0
254426,0
411437,0
161291,0
135212,0
180067,0
491860,1
405451,0
60278,0
395023,0
487994,0
47052,0
479674,0
347106,0
235760,1
263459,0
315731,0
117390,1
318938,0
484515,1
61935,1
204669,0
321587,0
389104,0
255216,0
327340,1
440013,0
480260,1
355932,0
239407,0
364154,0
74637,0
280199,0
137715,1
277104,0
256857,0
307867,0
243551,0
23458,0
96564,0
356527,0
168743,0
351950,1
228223,0
396812,0
40389,0
456615,1
173715,1
4059,0
468022,0
111481,0
248707,0
258067,0
399166,0
67263,0
369496,0
149002,0
89101,0
261878,0
170538,0
24176,0
42333,0
237633,0
86317,0
424542,0
232257,0
294940,1
281905,1
327803,0
493770,1
201212,0
2658,0
457700,1
225269,0
430235,1
83711,0
433501,0
62223,0
297439,0
448083,0
222172,0
64433,0
285426,0
326419,0
220099,0
174272,0
132648,0
207075,1
248641,0
24459,0
50146,0
294308,0
407443,0
22507,0
8217,0
226354,0
478244,0
65721,0
446544,0
312121,0
335736,0
421651,0
36272,0
310500,1
245761,0
385612,0
211180,1
199888,0
128585,1
331825,1
368621,0
27424,0
274078,0
323449,0
148567,0
343604,0
219981,0
37150,1
299063,0
7123,0
414832,0
350392,0
66967,0
466009,0
435316,0
12703,0
459738,0
268352,0
163588,0
355873,0
331730,1
79256,0
401917,0
484261,0
37415,1
440777,0
327007,0
269756,0
71909,0
3086,0
457155,1
229333,0
259636,0
72709,0
60185,1
374348,0
41005,1
214037,0
42767,0
247225,1
274934,0
449571,0
5925,1
166470,1
309723,0
231859,0
287595,1
452191,0
314430,1
